Timestamp,Latitude,Longitude,Spill_Size_Barrels,Impact_Zone_Square_KM,Response_Time_Hours,Cleanup_Status,Environmental_Impact_Score,Spill_Cause
2023-04-30 09:08:56,-23.119365867215123,-79.20962094743444,7765.164994233164,73.80038180937093,39.13249175506472,In Progress,8,Human Error
2023-12-21 09:17:24,-51.147387545275855,11.477659359569799,5231.100063094519,68.4638247804742,11.619405672464229,In Progress,2,Collision
2023-08-23 16:28:46,-39.17245141983296,-125.65702077766029,5252.938158414104,38.50837419055501,9.136201962050148,In Progress,6,Unknown
2023-04-05 19:08:02,-56.70200221435496,-59.875786851238416,2391.27707823216,41.60875505355188,16.891554108785797,In Progress,3,Human Error
2023-09-20 03:28:46,85.03130132166478,29.116876585467338,6223.74336521654,32.139454077007784,22.56619887361473,Completed,3,Collision
2023-03-07 22:19:26,-83.81263907309378,-27.742594734472107,1775.3062041178055,2.3167845097676176,12.559665770468186,In Progress,1,Unknown
2023-07-08 15:34:44,86.66999461669278,-66.2851185856736,2748.912910157721,22.31334460293355,18.42269219412419,Completed,7,Unknown
2023-07-03 23:46:04,14.522869259019217,-125.5763566223804,1798.0899595796243,68.97769446461163,22.534235253483295,Completed,2,Unknown
2023-05-02 03:40:48,-88.4531466168578,-179.07655436686483,7299.144307460878,58.15685213873273,29.433585298109687,In Progress,2,Collision
2023-05-24 09:36:34,-16.10618131207525,23.529632418783677,3068.5465289006784,97.39708139188744,29.156504653323317,In Progress,9,Human Error
2023-09-26 08:46:34,79.11687155518862,34.72604679427613,9435.562652817694,57.30182056533295,20.799551190948165,In Progress,1,Human Error
2023-10-02 09:36:44,-17.731341730943996,2.968734945619815,2508.5436137680235,17.32156793603047,26.482041402431502,In Progress,9,Unknown
2023-12-13 12:38:53,67.32289606743291,25.72319341498192,2739.923905510153,83.79081818721225,11.734894002709575,Completed,9,Unknown
2023-12-03 10:36:44,-23.98899904552202,23.9581341056288,9383.43845998158,59.74880884597684,36.723868082010426,In Progress,4,Equipment Failure
2023-03-16 11:51:02,35.647549815502245,138.30315159282338,6378.156383727614,1.4454306156332668,5.551369048082073,In Progress,3,Collision
2023-06-06 06:40:16,15.592986628175751,-18.598763926134893,2712.4351216495306,99.82469223300522,46.53529591670144,In Progress,1,Equipment Failure
2023-08-10 14:56:29,49.121281478806395,122.93174790585954,161.12388722148273,71.84934095126313,38.12775992467963,In Progress,1,Unknown
2023-04-25 14:21:23,83.56107973076087,-11.648828297075454,4759.711341863532,30.159942930125453,1.1468303443476713,Completed,7,Human Error
2023-05-31 09:24:37,-6.870824158816788,64.29151275082063,3380.5822980762277,68.13153898138255,15.212921338248316,In Progress,2,Collision
2023-08-13 15:19:27,-38.76436283769658,108.37461271223316,6950.803807571498,82.59629729220974,6.304828057356796,In Progress,4,Collision
