Speed (knots),Cargo Load (tons),Fuel Level (%),Temperature (°C),Anomaly
14.980284918067396,36699,32.2963816566267,0.9219122494340182,0
11.170414192972892,23412,20.38008295497405,17.12050643391543,0
15.886131228604155,37419,28.683058250438076,8.555583188829406,0
21.13817913844815,37481,26.364244121425518,24.874951801854724,0
10.595079751659984,15735,54.34763470716757,13.78968958673679,0
10.595178258304916,42257,58.45543180011929,31.805640246384385,0
21.47527689304435,34047,94.77000497804293,23.903625616095834,0
16.604608374917454,48619,23.57921147464469,24.227221651566197,0
9.183153684390287,44310,65.95919246534211,0.8577666745532486,0
15.255360261515788,19776,82.63963055381467,39.21248832456452,0
9.219493843125226,32423,58.22293905938999,32.083760463574436,1
9.20562147857846,6034,29.225346987602194,29.45024422803473,0
13.451773629396204,26969,29.94227185190002,6.510761258001372,0
0.5203185320532127,36574,8.729040041744991,16.781582642361595,0
1.6504930049218034,36170,34.01720152210576,-3.1448405962835677,0
8.626274824554164,33063,75.7373495053211,16.923798833135297,0
5.923013277993457,46659,9.514186934675486,-2.7055376758356364,0
13.885483995571644,36986,25.833051837958912,17.65189219948006,0
6.5518555468727335,521,72.09208736051929,22.436094007745282,0
3.5261777919882498,34768,79.35189846817327,9.509798362495118,0
20.793892613529323,42302,48.2552489558832,14.927243916564661,0
10.645342197080787,16299,71.31706215547165,33.78266938372929,0
12.405169228127543,26836,41.85545602221474,-4.5718427648595314,0
3.4515108827192593,4141,20.191758277292113,29.586644649982645,0
8.733703652848904,22096,42.82420188467612,-1.4622724501901796,0
12.665535538259196,33459,60.09694291929857,-8.16460085976858,0
5.094038535466183,13806,95.06506177602458,-0.7212698627476111,0
14.254188110074033,46682,11.531340448424345,28.252159498524485,0
8.39616786048717,9087,53.20243891527126,10.256303666843001,0
10.24983750124034,31859,36.24737893001882,33.6260258423091,1
8.389760326623618,21998,53.28961095628598,16.23537705911329,0
23.113669107053628,5162,7.27766750077051,-8.887482403683451,0
11.919016651572397,37594,34.73740869665023,25.83568048009634,0
5.6537344262646005,42333,82.88747401506548,-4.488354563938365,1
16.935269472619133,27697,57.624464716190566,29.46898167309622,0
4.674938100173867,21219,47.805336817531156,-1.5948725097409988,0
13.253181570028532,25165,32.12488181295726,7.272319290275673,0
0.24197925672134657,43739,33.31403966517881,28.063571481268017,0
4.030883706609417,25532,41.394636191105526,37.71156787382108,0
13.181167415214741,13141,84.37921744663323,8.571697532336618,0
16.430799479972464,42464,96.8852546467855,31.470011009946788,0
13.028209687139823,30528,46.67226122828558,-0.4603867262080641,0
11.306110305670558,45994,42.36851968103738,30.358988510124554,0
10.193377826464268,16151,85.42232370288697,22.874702962812552,0
3.1288680577954358,9036,45.556005460448844,-0.36282463938157816,0
7.680934749631748,46212,57.44172636808686,5.125198017570579,0
9.236167374241274,6773,26.93945813688072,-3.4114555701482,0
18.342733357313495,6784,75.63274089901215,9.148350553215664,0
14.06170973741077,26192,55.538890235724274,0.18243205616387037,0
1.4217590678235963,9317,81.85828227283245,22.199897681523677,0
13.94450381636877,29455,79.16960935272363,39.725255211027935,0
9.6895063175021,27055,25.425452985652715,-9.399541845786793,0
7.938467998164247,20878,72.98537730298743,17.045990664364933,0
