Latitude,Longitude,Image_Resolution,Segmented_Spill_Area_Pixels,Oil_Spill_Detected
-22.58277860747475,-38.29121270012085,40,2896,1
81.12857515378491,-9.563162624992291,20,7817,0
41.75890952605292,127.63706155278491,50,4616,0
17.758527155466588,-57.59842101843883,30,2593,0
-61.916644720361425,133.07388653238166,30,4331,0
-61.92098633948353,-148.27160484839106,30,3676,0
-79.5449498097241,99.64743739510706,10,8200,0
65.91170623948834,125.11714789970509,10,5828,1
18.200702113777584,-114.54564497855804,30,132,1
37.45306400328819,-25.07524834600784,40,4473,0
-86.29479102675556,-120.42008112108398,40,3698,0
84.58377338915898,74.37748643791839,10,2492,0
59.839675344075914,12.725196502196425,30,6805,0
-51.77896007791029,48.71640481499557,40,6890,0
-57.27150590272189,-109.26469189576399,10,2777,0
-56.98718822638191,-103.77148966112897,30,1501,0
-35.23639626728321,-165.06096281643372,20,917,0
4.456157693802812,-64.05568732953729,30,6303,0
-12.249896644419163,21.508078080122985,30,9952,0
-37.57875476435245,128.85656903903836,50,4662,1
20.133521050028303,60.093881085125055,50,4823,0
-64.89110508263246,-23.257323576089487,20,2538,0
-37.41396326366073,163.1232411818896,20,6928,0
-24.054868207135492,78.92827220729947,30,1310,0
-7.907402840933533,154.859473030518,40,6741,0
51.331673050742445,9.93167037797964,20,699,0
-54.058719211495244,-86.79446107446975,30,5580,0
2.562198914450089,-160.9823929087001,10,1946,0
16.634622395167643,81.39054653418617,50,6692,0
-81.63892571040041,-136.33092071800772,40,7961,0
19.358073342258905,-71.00095382209182,30,1987,0
-59.30565773628752,11.689526838203061,10,779,0
-78.29071326264969,23.189971600709164,50,3352,0
80.79939670559999,36.20995091536897,10,1935,0
83.81376595342068,-120.14808107410776,30,2277,1
55.511522660963,-43.29453426420645,20,8242,0
-35.16952154879328,42.189921762108014,50,248,0
-72.4190194788509,169.1347912681625,10,1595,0
33.16194477218824,81.94720957188792,20,1844,0
-10.772551126871765,152.13735255382483,40,1746,0
-68.03311772793981,94.39634099310373,30,3095,0
-0.8681561799713666,33.01810880126416,30,6743,0
-83.81006619926069,-110.87158711091597,50,9964,0
73.67767237418077,60.006834681304696,10,7478,0
-43.41960331199695,44.416643745566546,40,8949,0
29.254011183716756,36.88890136461592,50,3767,0
-33.89200630390603,-3.677087524233329,50,9345,1
3.6122438120059464,10.31637743613922,10,676,0
8.407850281790337,-59.60069023748253,40,4879,0
-56.72619800540513,6.952569351229143,10,8287,0
84.52523299762053,-108.87987395574783,30,3072,0
49.52390820500062,109.86278304973564,20,7856,0
79.10980948155404,-113.12029630846519,30,4048,0
71.06892307697679,-149.4121356397921,30,6644,0
17.621996185995325,-22.951430511423347,50,2145,0
75.93736230416103,56.99067822218227,30,1727,0
-74.0713496306545,-22.42194302392511,40,1588,0
-54.72308476455387,-80.3685124975289,30,9227,0
-81.85908799610314,20.941626200558666,40,3663,0
-31.440540462612418,-55.079159251608026,10,1902,0
-20.038087855893238,155.83236844558792,50,9712,0
-41.15717428069873,152.15225025728594,40,3691,0
59.17275164734728,0.8538551899543645,30,3620,0
-25.78440119515393,-61.96176215342693,50,5996,0
-39.43178825627146,85.36766902439007,50,7743,0
7.685294968484724,-166.783340346096,40,7141,1
-64.63363950454273,-9.083157824285554,40,3411,0
54.39545653572714,-58.92357806267993,20,2405,0
-76.58088413764125,151.3929186369197,20,7975,0
87.63964858809311,-175.67891018183428,50,2067,0
49.00405847339834,19.01335525860567,20,8109,0
-54.23117732384897,86.63888918398536,30,5562,0
-89.00601891775156,-5.393524491345154,10,6997,0
56.78305712187015,-149.2549091414202,50,3558,0
37.23432189257108,170.0861004100448,10,8685,1
41.221290247377716,6.483755295395253,20,4878,0
48.82866240347023,41.10704795484409,40,3830,1
-76.67196268786374,-94.82047822529736,50,4465,0
-25.47616886203093,-5.940689361550628,20,7647,0
-69.14356928547664,-25.50618289500413,30,127,0
65.35861665760683,-153.03749687928587,50,3591,0
22.193662828960427,-141.7822727229118,50,6523,0
-30.438355526523146,121.49010706275884,40,5401,0
-78.55949694851574,-93.66481720562751,50,6260,1
-34.0231820911808,-109.81502226049301,40,1273,0
-31.46700203518553,1.7681224500501314,20,438,0
41.32911210085153,96.74896729050465,30,9360,0
24.760344843938363,-157.69925331156435,30,941,0
69.69829366373878,27.650851069772102,50,393,0
-5.0013134708491265,-137.0842405773936,50,9614,0
-68.4730357311057,-166.87402170277736,20,6658,0
38.3840617001391,-161.01217722160175,40,1747,0
46.94130875104154,120.29907895503888,30,4998,0
11.029895562509322,-137.52990589389785,40,4626,0
48.77409239182098,-163.7455088115749,20,5714,0
-1.1167926544096662,-22.35604062855158,30,3901,0
4.091909288758931,123.83764989912892,30,8380,1
-13.042616695461067,-85.5329844638513,10,7476,0
-85.42455718606287,-28.183457690670103,20,999,0
-70.57954314120519,-165.62788827704955,20,3577,0
-84.34274657638784,-18.331734911444684,10,1844,0
24.55387402748047,27.940709029368126,40,6196,0
-33.4159234062612,25.526539350772126,10,2353,1
1.5427244096464987,-60.32639081722854,20,1733,0
73.36196530669675,-66.40805496127122,40,7101,0
-45.12739875320251,-141.61549718282475,30,7120,0
-16.13107385358665,-47.952604567343386,10,9153,0
45.99920493774876,-144.18191920573273,40,8249,0
-48.81633021150796,95.97454009633859,40,4801,0
-76.14361623081726,167.8587471893469,40,6835,0
-37.84473847552176,169.2268044000145,10,1113,0
-60.9801682942792,131.42559577514177,30,3399,0
77.34557742166315,36.28517376226288,40,1606,0
55.461668321595056,72.31165100779677,10,4903,0
24.012676171876222,-77.32591103505094,20,1077,0
66.86290623378919,47.07735126214343,10,1917,1
54.6609738418406,-15.966162201644117,10,5001,0
-56.41738940051355,-6.473757680304297,10,9240,0
70.660619728196,92.79956173505686,40,6898,0
7.0816035448171295,-78.5093919849894,10,573,0
55.339227929531255,-65.50573978997284,20,667,0
71.29643398622878,152.8710448063092,40,8066,0
-32.7593745050645,-159.75925385365,20,2358,0
-70.19065358501818,-5.171652571197463,50,8220,0
-48.9716707424505,148.6082881468302,10,4410,0
-13.120598047273864,39.73068281453652,40,2082,0
